time,zeroDetector.i,zeroDetector.z,simpleMath.x,simpleMath.y,simpleMath.der(x)
7.39999999999999,1.0,1.0,8.399999999999988,0.854598908088287,1.0
7.499999999999989,1.0,1.0,8.499999999999988,0.7984871126234978,1.0
7.599999999999989,1.0,1.0,8.599999999999987,0.7343970978741218,1.0
7.699999999999989,1.0,1.0,8.699999999999987,0.6629692300821927,1.0
7.799999999999988,1.0,1.0,8.799999999999986,0.5849171928917732,1.0
7.899999999999988,1.0,1.0,8.899999999999986,0.501020856457897,1.0
7.999999999999988,1.0,1.0,8.999999999999986,0.4121184852417695,1.0
8.099999999999987,1.0,1.0,9.099999999999985,0.31909836234936556,1.0
8.199999999999987,1.0,1.0,9.199999999999985,0.22288991410026152,1.0
8.299999999999986,1.0,1.0,9.299999999999985,0.12445442350707757,1.0
8.399999999999986,1.0,1.0,9.399999999999984,0.02477542545337375,1.0
8.499999999999986,1.0,1.0,9.499999999999984,-0.07515112046179337,1.0
8.599999999999985,1.0,1.0,9.599999999999984,-0.17432678122296388,1.0
8.699999999999985,1.0,1.0,9.699999999999983,-0.2717606264109271,1.0
8.799999999999985,1.0,1.0,9.799999999999983,-0.3664791292519119,1.0
8.899999999999984,1.0,1.0,9.899999999999983,-0.45753589377530557,1.0
8.999999999999984,1.0,1.0,9.999999999999982,-0.5440211108893549,1.0
9.099999999999984,1.0,1.0,10.099999999999982,-0.6250706488928682,1.0
9.199999999999983,1.0,1.0,10.199999999999982,-0.6998746875935297,1.0
9.299999999999983,1.0,1.0,10.299999999999981,-0.7676858097635699,1.0
9.399999999999983,1.0,1.0,10.39999999999998,-0.8278264690856427,1.0
9.499999999999982,1.0,1.0,10.49999999999998,-0.8796957599716608,1.0
9.599999999999982,1.0,1.0,10.59999999999998,-0.9227754216127991,1.0
9.699999999999982,1.0,1.0,10.69999999999998,-0.9566350162701822,1.0
9.799999999999981,1.0,1.0,10.79999999999998,-0.9809362300664874,1.0
9.89999999999998,1.0,1.0,10.899999999999979,-0.9954362533063754,1.0
9.99999999999998,1.0,1.0,10.999999999999979,-0.9999902065507036,1.0
10.09999999999998,1.0,1.0,11.099999999999978,-0.9945525882039914,1.0
10.19999999999998,1.0,1.0,11.199999999999978,-0.9791777291513217,1.0
